Starbucks,"[['4.2 stars 524 Reviews', ' 755 Boylston St'], ['4.1 stars 291 Reviews', ' 125 Summer St'], ['3.9 stars 481 Reviews', ' 12 Winter Pl'], ['4.1 stars 337 Reviews', ' 15 Harvard St'], ['3.8 stars 231 Reviews', ' 277 Harvard St'], ['3.7 stars 166 Reviews', ' 183 Grove St'], ['4.3 stars 129 Reviews', ' 142-148 Brookline Ave'], ['3.8 stars 233 Reviews', ' 364 Brookline Ave'], ['4.0 stars 173 Reviews', ' 874 Commonwealth Ave']]"
Brothers & Sisters Co.,"[['4.5 stars 407 Reviews', ' 7 Station St']]"
Cafe Fixe,"[['4.2 stars 352 Reviews', ' 1642 Beacon St']]"
Temptations Cafe,"[['4.1 stars 341 Reviews', ' 1350 Beacon St']]"
Tatte Bakery & Cafe | Coolidge Corner,"[['4.5 stars 367 Reviews', ' 420 Harvard St']]"
Rifrullo Cafe,"[['4.7 stars 243 Reviews', ' 147 Cypress St']]"
Tatte Bakery & Cafe | Beacon St,"[['4.4 stars 1,007 Reviews', ' 1003 Beacon St']]"
Pavement Coffeehouse - BU,"[['4.2 stars 343 Reviews', ' 736 Commonwealth Ave']]"
Dunkin',"[['3.7 stars 106 Reviews', ' 8 Harvard St'], ['4.1 stars 295 Reviews', ' 265 Boylston St'], ['3.7 stars 247 Reviews', ' 1316 Beacon St'], ['3.4 stars 38 Reviews', ' 457 Brookline Ave Deaconess Hospital'], ['4.1 stars 74 Reviews', ' In East Campus 330 Brookline Ave']]"
Paris Creperie,"[['4.5 stars 1,057 Reviews', ' 278 Harvard St']]"
Bakey,"[['4.7 stars 120 Reviews', ' 370 Harvard St']]"
Japonaise Bakery & Cafe,"[['4.7 stars 524 Reviews', ' 1020 Beacon St']]"
Kupel's Bakery,"[['4.5 stars 864 Reviews', ' 421 Harvard St']]"
Martin's Coffee Shop,"[['4.4 stars 463 Reviews', ' 35 Harvard St'], ['4.4 stars 463 Reviews', ' 35 Harvard St']]"
Cafe Landwer Cleveland Circle,"[['4.4 stars 821 Reviews', ' 383 Chestnut Hill Ave']]"
Meet Point Patisserie,"[['4.9 stars 50 Reviews', ' 3 Kendall St']]"
Cafe Landwer Audubon Circle,"[['4.4 stars 1,239 Reviews', ' 900 Beacon St']]"
Espresso Yourself,"[['4.6 stars 253 Reviews', ' 767 Centre St']]"
Royaltea Brookline,"[['4.0 stars 102 Reviews', ' 1378b Beacon St']]"
Clear Flour Coffee Bar,"[['4.7 stars 20 Reviews', ' 180 Thorndike St']]"
J.P. Licks,"[['4.5 stars 762 Reviews', ' Coolidge Corner 311 Harvard St']]"
Clear Flour Bread,"[['4.8 stars 749 Reviews', ' 178 Thorndike St']]"
TBaar,"[['4.6 stars 260 Reviews', ' 1038 Beacon St']]"
Fuel America,"[['3.9 stars 24 Reviews', ' 1020 Commonwealth Ave'], ['4.4 stars 398 Reviews', ' 152 Chestnut Hill Ave']]"
Athan's Bakery,"[['4.4 stars 675 Reviews', ' 1621 Beacon St']]"
Life Alive Organic Cafe Brookline,"[['4.4 stars 502 Reviews', ' 888 Commonwealth Ave']]"
Ula Café,"[['4.5 stars 536 Reviews', ' 284 Amory St']]"
When Pigs Fly Breads,"[['4.7 stars 181 Reviews', ' 1378 Beacon St']]"
Bess's Cafe,"[['4.4 stars 185 Reviews', ' 224 Cypress St']]"
Phinista Cafe,"[['4.5 stars 687 Reviews', ' 96 Peterborough St']]"
Pavement Coffeehouse - Allston,"[['4.2 stars 322 Reviews', ' 1243 Commonwealth Ave']]"
Boba Tea & Snow Ice House,"[['4.5 stars 32 Reviews', ' 171 Amory St']]"
BARE Blends,"[['4.7 stars 28 Reviews', ' 1310 Beacon St']]"
Far Out Ice Cream,"[['4.5 stars 412 Reviews', ' 419 Harvard St']]"
Brooklines Heating & Air Conditioning Company,"[['4.2 stars 318 Reviews', ' Brookline Public Safety Building 350 Washington St']]"
Panera Bread,"[['4.8 stars 195 Reviews', ' 364 Brookline Ave'], ['4.5 stars 485 Reviews', ' 121 Brookline Ave']]"
Sultana's Bakery & Cafe,"[['3.8 stars 64 Reviews', ' 1585 Commonwealth Ave']]"
OneZo,"[['4.5 stars 81 Reviews', ' 1376A Beacon St']]"
CRÉMEUX French Pâtisserie,"[['4.7 stars 95 Reviews', ' 240 Harvard St']]"
Drive-By Pies,"[['3.9 stars 164 Reviews', ' 248A Cypress St']]"
Bruegger's Bagels,"[['4.7 stars 480 Reviews', ' 253 Harvard St']]"
Knight Moves Cafe,"[['4.4 stars 288 Reviews', ' 1402 Beacon St']]"
Cafe Mirror,"[['4.5 stars 251 Reviews', ' 362 Washington St']]"
The Brookline Pizza Spa,"[['4.4 stars 22 Reviews', ' 75 Harvard St']]"
Dash Cafe,"[['4.1 stars 180 Reviews', ' 5 Henshaw St']]"
